nivel1;nivel2;nivel3
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;2. Evolución de las fincas rústicas y urbanas transmitidas según título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;3. Evolución de las viviendas transmitidas según título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;4. Evolución de la compraventa de viviendas según estado de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;5. Evolución de la compraventa de viviendas según régimen de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;6. Evolución de las transmisiones efectuadas según zonas, por tipo de finca.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;7. Fincas rústicas, urbanas y viviendas transmitidas según zonas y título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;8. Compraventa de viviendas según zonas y estado de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;9. Compraventa de viviendas según zonas y régimen de la vivienda.
Actividades de I+D;SERIES;1. Gastos internos totales en I+D según clase de gasto.
Actividades de I+D;SERIES;2. Gastos internos corrientes en I+D según tipo de investigación.
Actividades de I+D;SERIES;3. Personal en EJC empleado en I+D según ocupación y sexo.
Actividades de I+D;SERIES;4. Recursos por investigador.
Actividades de I+D;SERIES;5. Porcentaje de gastos respecto al PIB a precios de mercado.
Actividades de I+D;2018;1. Gastos Internos totales en I+D según clase de gasto y sector de ejecución.
Actividades de I+D;2018;2. Gastos internos totales en I+D según origen de los fondos y sector de ejecución.
Actividades de I+D;2018;3. Gastos internos corrientes en I+D según tipo de investigación y sector de ejecución.
Actividades de I+D;2018;4. Personal en EJC empleado en I+D según ocupación, sexo y sector de ejecución.
Actividades de I+D;2018;5. Porcentaje de gastos respecto al PIB a precios de mercado según sector de ejecución.
Actividades de I+D;2018;6. Porcentaje de gastos respecto al VAB según rama de actividad.
Actividades de I+D;2018;7. Sector empresas. Principales resultados en I+D según rama de actividad.
Actividades de I+D;2018;8. Sector empresas. Principales resultados en I+D según sectores de Alta y Media-Alta Tecnología.
Actividades de I+D;2018;9. Sector empresas. Resultados detallados en I+D según rama de actividad.
Actividades de I+D;2018;10. Sector empresas. Resultados detallados en I+D según sectores de Alta y Media-Alta Tecnología.
Actividades de I+D;2018;11. Sector Administración Pública. Personal según disciplina científica, ocupación y sexo.
Actividades de I+D;2018;12. Sector Enseñanza Superior. Personal en I+D según disciplina científica, ocupación y sexo.
Agricultura;AGRICULTURA;1. Evolución del número de explotaciones, superficie total y superficie agrícola utilizada (SAU) según tamaño de la explotación. Censo Agrario.
Agricultura;AGRICULTURA;2. Número de explotaciones, superficie total y superficie agrícola utilizada (SAU), según municipios y tamaño de la explotación. Censo Agrario.
Agricultura;AGRICULTURA;3. Evolución del número de explotaciones con superficie agrícola utilizada y superficie total según régimen de tenencia. Censo Agrario.
Agricultura;AGRICULTURA;4. Número de explotaciones con superficie agrícola utilizada y superficie total según municipios y régimen de tenencia de la SAU. Censo Agrario.
Agricultura;AGRICULTURA;5. Evolución del número de explotaciones según personalidad jurídica del titular. Censo Agrario.
Agricultura;AGRICULTURA;6. Número de explotaciones según municipios y personalidad jurídica del titular. Censo Agrario.
Agricultura;AGRICULTURA;7. Evolución del número de explotaciones, superficie total y superficie agrícola utilizada (SAU) según tamaño de la explotación. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;AGRICULTURA;8. Número de explotaciones, superficie total y superficie agraria utilizada (SAU) según la personalidad jurídica del titular y gestión de la explotación, según tamaño. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;AGRICULTURA;9. Superficie agraria utilizada según régimen de tenencia por tamaño. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;AGRICULTURA;10. Número de explotaciones y superficie agraria utilizada según aprovechamiento principal de las explotaciones. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;AGRICULTURA;11. Aprovechamiento de las tierras labradas según tamaño de la explotación. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;AGRICULTURA;12. Evolución de la distribución general de la tierra según sistema de cultivo y tipo de superficie (hectáreas).
Agricultura;AGRICULTURA;13. Evolución de la distribución general de la tierra según sistema de cultivo y tipo de superficie (%).
Agricultura;AGRICULTURA;14. Distribución general de la tierra según municipios y tipo de superficie, por sistema de cultivo (secano/regadío).
Agricultura;AGRICULTURA;15. Evolución de la superficie de las tierras de cultivo según tipo de cultivo.
Agricultura;AGRICULTURA;16. Evolución de la superficie de las tierras de cultivo según municipios y sistema de cultivo.
Agricultura;AGRICULTURA;17. Evolución de la superficie de las tierras de cultivo según municipios, por tipo de cultivo.
Agricultura;AGRICULTURA;18. Evolución de la superficie de las tierras de cultivo según tipo de cultivo y sistema de cultivo, por municipios.
Agricultura;AGRICULTURA;19. Superficie de las tierras de cultivo en invernaderos según tipo de cultivo y municipios.
Agricultura;AGRICULTURA;20. Superficie de las tierras de cultivos acolchados según tipo de cultivo y municipios.
Agricultura;AGRICULTURA;21. Superficie de las tierras de cultivo con riego localizado según tipo de cultivo y municipios.
Agricultura;AGRICULTURA;22. Evolución de la producción agrícola según tipo de cultivo.
Agricultura;AGRICULTURA;23. Maquinaria agrícola. Nueva maquinaria inscrita según tipo.
Agricultura;AGRICULTURA;24. Maquinaria agrícola. Cambios de titularidad de maquinaria usada según antigüedad.
Agricultura;AGRICULTURA;25. Maquinaria agrícola. Censo de maquinaria agrícola automotriz.
Agricultura;AGRICULTURA;26. Maquinaria agrícola. Parque estimado de tractores y cosechadoras de cereales en uso.
Agricultura;AGRICULTURA;27. Distribución de la superficie de la agricultura ecológica según municipios y tamaño de la explotación. Censo Agrario.
Agricultura;AGRICULTURA;28. Evolución del número de operadores en Agricultura Ecológica.
Agricultura;AGRICULTURA;29. Evolución de la superficie inscrita en Agricultura Ecológica.
Agricultura;AGRICULTURA;30. Superficie y producción estimada en Agricultura Ecológica según tipo de cultivo.
Agricultura;AGRICULTURA;31. Evolución del número de industrias sometidas a control en Agricultura Ecológica relacionadas con la producción vegetal.
Agricultura;AGRICULTURA;32. Evolución de los precios medios de la tierra según tipo de cultivo.
Agricultura;AGRICULTURA;33. Evolución de los precios medios de la tierra y los cánones de arrendamiento según tipo de tierra, secano o regadío.
Agricultura;AGRICULTURA;34. Evolución del precio medio anual general de la tierra de uso agrario, el índice de precios y la tasa de variación interanual.
Agricultura;GANADERÍA;1. Evolución de las explotaciones ganaderas y cabezas de ganado según especie. Censo Agrario.
Agricultura;GANADERÍA;2. Evolución de las explotaciones ganaderas y cabezas de ganado según especie. Encuesta sobre la Estructura de las Explotaciones Agrícolas. 
Agricultura;GANADERÍA;3. Evolución del número de cabezas de ganado según especie.
Agricultura;GANADERÍA;4. Evolución de la producción de carne según especie.
Agricultura;GANADERÍA;5. Evolución de la producción de leche según especie.
Agricultura;GANADERÍA;6. Evolución de la producción de otros productos ganaderos.
Agricultura;GANADERÍA;7. Unidades ganaderas totales según municipios y tamaño de la explotación. Censo Agrario.
Agricultura;GANADERÍA;8. Número de explotaciones, cabezas de ganado y unidades ganaderas según municipios y especie. Censo Agrario.
Agricultura;GANADERÍA;9. Evolución del número de explotaciones ganaderas en Agricultura Ecológica.
Agricultura;GANADERÍA;10. Evolución del número de cabezas de ganado y colmenas en Agricultura Ecológica.
Agricultura;GANADERÍA;11. Evolución del número de industrias sometidas a control en Agricultura Ecológica relacionadas con la producción animal.
Agricultura;SELVICULTURA;1. Superficie forestal arbolada y desarbolada según tipo. MFE25.
Agricultura;SELVICULTURA;2. Superficie forestal arbolada y desarbolada según titularidad. IFN4.
Agricultura;SELVICULTURA;3. Superficie forestal arbolada según tipo de vegetación dominante. MFE25.
Agricultura;SELVICULTURA;4. Superficie forestal arbolada según forma fundamental de la masa. IFN3.
Agricultura;SELVICULTURA;5. Comparación de existencias medias entre IFN2, IFN3 e IFN4.
Agricultura;SELVICULTURA;6. Evolución de los productos forestales madereros según detalle de especie.
Agricultura;SELVICULTURA;7. Evolución de los productos forestales madereros según especie y titularidad.
Agricultura;SELVICULTURA;8. Evolución de los productos forestales no madereros.
Agricultura;SELVICULTURA;9. Evolución de otros beneficios de los montes.
Agricultura;PESCA;1. Evolución de la pesca desembarcada.
Agricultura;PESCA;2. Evolución de la pesca desembarcada según puertos.
Agricultura;PESCA;3. Evolución del número de embarcaciones pesqueras según cofradía y modalidad de pesca.
Agricultura;PESCA;4. Evolución del número de trabajadores de la pesca según cofradía.
Agricultura;PESCA;5. Evolución de las capturas según modalidad de pesca y cofradía.
Agricultura;PESCA;6. Evolución de la producción acuícola.
Agricultura;MACROMAGNITUDES DEL SECTOR AGRARIO;1. Evolución de la aportación de los distintos subsectores a la producción de la rama agraria.
Agricultura;MACROMAGNITUDES DEL SECTOR AGRARIO;2. Evolución de la aportación de los principales grupos de productos a la producción de la rama agraria.
Agricultura;MACROMAGNITUDES DEL SECTOR AGRARIO;3. Evolución de la importancia relativa de los consumos intermedios
Agricultura;MACROMAGNITUDES DEL SECTOR AGRARIO;4. Evolución de las principales macromagnitudes del sector agrario
Agricultura;MACROMAGNITUDES DEL SECTOR AGRARIO;5. Evolución de la renta generada por persona ocupada en el sector agrario (SEC-95).
Agricultura;OTROS INDICADORES DEL SECTOR AGRARIO;1. Número de trabajadores asalariados según sexo, tamaño de las explotaciones y porcentaje de tiempo trabajado. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;OTROS INDICADORES DEL SECTOR AGRARIO;2. Número de trabajadores familiares según tamaño de las explotaciones y sexo. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;OTROS INDICADORES DEL SECTOR AGRARIO;3. Explotaciones con otras actividades lucrativas. Encuesta sobre la Estructura de las Explotaciones Agrícolas.
Agricultura;OTROS INDICADORES DEL SECTOR AGRARIO;4. Unidades de trabajo al año (UTA) según tamaño de la explotación. Censo Agrario.
Agricultura;OTROS INDICADORES DEL SECTOR AGRARIO;5. Unidades de trabajo al año (UTA) según municipios y tipo de explotación. Censo Agrario.
Agricultura;GRÁFICOS;G.1.a. Distribución general de la tierra.
Agricultura;GRÁFICOS;G.1.b. Distribución de las tierras de cultivo en secano y regadío.
Agricultura;GRÁFICOS;G.2. Evolución de las tierras de cultivo en regadío.
Agricultura;GRÁFICOS;G.3.a. Evolución de la pesca desembarcada (peso).
Agricultura;GRÁFICOS;G.3.b. Evolución de la pesca desembarcada (valor).
Agricultura;GRÁFICOS;G.4. Evolución de la producción total, V.A.B. CF y renta agraria.
Alta Tecnología;TABLAS;1. Indicadores económicos de las empresas de alta tecnología según sector tecnológico (CNAE-2009).
Alta Tecnología;DATOS ANTERIORES;1. Indicadores económicos de las empresas de alta tecnología según sector tecnológico (CNAE-2009). Hasta 2015.
Apoyo a la Creación de Empleo;TABLAS;1. Evolución de las ayudas concedidas según programas.
Apoyo a la Creación de Empleo;TABLAS;2. Evolución del importe de las ayudas concedidas según programas.
Apoyo a la Creación de Empleo;TABLAS;3. Evolución de los beneficiarios y del importe de las ayudas concedidas para la integración laboral de personas con discapacidad por la contratación indefinida en empresas del mercado ordinario según tipo de jornada.
Apoyo a la Creación de Empleo;TABLAS;4. Evolución de los beneficiarios de las ayudas concedidas para la integración laboral de personas con discapacidad por la contratación indefinida en empresas del mercado ordinario según sexo y edad.
Apoyo a la Creación de Empleo;TABLAS;5. Evolución de las subvenciones concedidas según programas por la D.G. de Economía Social y Trabajo Autónomo. Beneficiarios y cuantía.
Asuntos Penitenciarios y Delitos;POBLACIÓN RECLUSA;1. Evolución de la población reclusa a 31 de diciembre según tipo de recluso y sexo.
Asuntos Penitenciarios y Delitos;POBLACIÓN RECLUSA;2. Población reclusa en la Comunidad Autónoma de la Región de Murcia según tipo de delito, tipo de recluso y sexo.
Asuntos Penitenciarios y Delitos;POBLACIÓN RECLUSA;3. Evolución de la población reclusa penada con prisión según edad y sexo.
Asuntos Penitenciarios y Delitos;DELITOS;1. Evolución del número de detenidos y droga incautada por el Cuerpo Nacional de Policía, Guardia Civil y Vigilancia Aduanera.
Asuntos Penitenciarios y Delitos;DELITOS;2. Infracciones penales (delitos + faltas) cometidas en la Región de Murcia según tipología. Hechos conocidos, esclarecidos y detenciones e investigados.
Asuntos Penitenciarios y Delitos;DELITOS;3. Evolución de las victimizaciones por hechos graves de violencia en el ámbito familiar y por violencia de género.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;1. Evolución de los menores condenados según edad y sexo.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;2. Evolución de los menores condenados según nacionalidad y sexo.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;3. Evolución de los menores condenados según número de infracciones penales y sexo.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;4. Evolución del número de infracciones penales según tipo de delito/falta y sexo del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;5. Evolución de las infracciones penales según tipo de delito/falta y edad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;6. Evolución de las infracciones penales según tipo de delito/falta y nacionalidad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;7. Evolución de las medidas adoptadas según tipo de medida y sexo del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;8. Medidas adoptadas según tipo de medida y edad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE DESDE 2016.;9. Medidas adoptadas según tipo de medida y nacionalidad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;1. Evolución de los menores condenados según sexo y edad. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;2. Evolución de los menores condenados según nacionalidad y sexo. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;3. Menores condenados según número de infracciones penales y sexo. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;4. Evolución del número de infracciones penales según tipo de delito/falta y sexo del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;5. Evolución de las infracciones penales según tipo de delito/falta y edad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;6. Evolución de las infracciones penales según tipo de delito/falta y nacionalidad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;7. Medidas adoptadas según tipo de medida y sexo del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;8. Medidas adoptadas según tipo de medida y edad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: MENORES. SERIE 2007-2015.;9. Medidas adoptadas según tipo de medida y nacionalidad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;1. Evolución de los adultos condenados según sexo y edad.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;2. Evolución de los adultos condenados según sexo y nacionalidad.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;3. Evolución de los adultos condenados según sexo y número de delitos.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;4. Evolución de los adultos condenados según sexo y número de penas.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;5. Evolución del número de delitos según tipo de delito.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;6. Evolución del número de delitos según sexo del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;7. Evolución del número de delitos según edad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;8. Evolución del número de delitos según nacionalidad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;9. Evolución de las penas según sexo del infractor y tipo de pena.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;10. Penas según tipo y edad del infractor. 
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE DESDE 2016.;11. Evolución de las penas según tipo y nacionalidad del infractor.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;1. Evolución de los adultos condenados según sexo y edad. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;2. Evolución de los adultos condenados según sexo y nacionalidad. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;3. Evolución de los adultos condenados según sexo y número de delitos. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;4. Evolución de los adultos condenados según sexo y número de penas. Serie 2013-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;5. Número de delitos según tipo de delito. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;6. Evolución del número de delitos según sexo del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;7. Evolución del número de delitos según edad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;8. Evolución del número de delitos según nacionalidad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;9. Evolución de las penas según sexo del infractor y tipo de pena. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;10. Penas según tipo y edad del infractor. Serie 2007-2015.
Asuntos Penitenciarios y Delitos;ESTADÍSTICA DE CONDENADOS: ADULTOS. SERIE 2007-2015.;11. Penas según tipo y nacionalidad del infractor. Serie 2007-2015.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;AUTORIZACIONES DE TRABAJO A EXTRANJEROS;1. Evolución de las autorizaciones de trabajo a extranjeros concedidas o denegadas según sexo.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;AUTORIZACIONES DE TRABAJO A EXTRANJEROS;2. Evolución de las autorizaciones de trabajo concedidas a extranjeros según sexo y edad.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;AUTORIZACIONES DE TRABAJO A EXTRANJEROS;3. Evolución de las autorizaciones de trabajo concedidas a extranjeros según sector de actividad, dependencia laboral y clase de autorización.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;AUTORIZACIONES DE TRABAJO A EXTRANJEROS;4. Evolución de las autorizaciones de trabajo concedidas a extranjeros según país de nacionalidad.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;OTRAS ESTADÍSTICAS LABORALES;1. Evolución de las empresas de economía social constituidas/registradas y socios de las mismas.
Autorizaciones de Trabajo a Extranjeros y Otras Estadísticas Laborales;GRÁFICOS;G-1. Evolución de las autorizaciones de trabajo concedidas a extranjeros según sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;1. Población según edad, sexo y nacionalidad (española/extranjera).
Censo de Población y Viviendas 2011;POBLACIÓN;2. Población según lugar de nacimiento, nacionalidad (española/extranjera) y sexo. 
Censo de Población y Viviendas 2011;POBLACIÓN;3. Población según sexo, edad (grupos quinquenales) y relación entre el lugar de nacimiento y el de residencia.
Censo de Población y Viviendas 2011;POBLACIÓN;4. Población según país de nacimiento, nacionalidad (española/extranjera) y sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;5. Población según tamaño del municipio, nacionalidad (española/extranjera) y sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;6. Población según país de nacionalidad y sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;7. Población según país de nacionalidad y edad (grupos quinquenales), por sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;8. Población según país de nacimiento y edad (grupos quinquenales), por sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;9. Población extranjera según país de nacimiento y edad (grupos quinquenales), por sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;10. Edad media según país de nacionalidad y sexo.
Censo de Población y Viviendas 2011;POBLACIÓN;1. Población según edad y sexo, por municipios.
